microtraithmm-name	db_xref-ec_tc	db_xref-kegg	microtraithmm-description
yiaY	1.1.1.1	K13954	yiaY; alcohol dehydrogenase [EC:1.1.1.1] 
bxlE	3.A.1.1.21_Q9L027	K17326	xylobiose transport system substrate-binding protein
bxlG	3.A.1.1.21	K17328	xylobiose transport system permease protein
bxlF	3.A.1.1.21_Q9L026	K17327	xylobiose transport system permease protein
xpk	4.1.2.9;4.1.2.22	K01621	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22] 
xanQ	2.A.40.4.3	K16346	xanthine permease XanQ
xanP	2.A.40.4.2	K16345	xanthine permease XanP
mthK	1.A.1.1;1.A.1.6;1.A.1.13;1.A.1.17;1.A.1.24;1.A.1.25	K10716	voltage-gated potassium channel
btuB	1.B.14.3.1_P06129	K16092	vitamin B12 transporter
btuF	3.A.1.13.1_Q8ZRP7	K06858	vitamin B12 transport system substrate-binding protein
btuC	3.A.1.13.1_P06609	K06073	vitamin B12 transport system permease protein
btuD	3.A.1.13.1_P06611	K06074	vitamin B12 transport system ATP-binding protein [EC:3.6.3.33]
vexB	3.A.1.101.2	K22921	Vi polysaccharide transport system permease protein
vexD	3.A.1.101.2	K22922	Vi polysaccharide transport system permease protein
vexC	3.A.1.101.2	K22923	Vi polysaccharide transport system ATP-binding protein [EC:7.6.2.12]
vexA	1.B.18.2.1	K22924	Vi polysaccharide export protein VexA
vnfH		K22899	vanadium-iron nitrogenase iron protein
vnfK	1.18.6.2	K22897	vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]
vnfD	1.18.6.2	K22896	vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]
vnfG	1.18.6.2	K22898	vanadium nitrogenase delta subunit [EC:1.18.6.2]
atpvaK		K02124	V/A-type H+/Na+-transporting ATPase subunit K
atpvaI		K02123	V/A-type H+/Na+-transporting ATPase subunit I
atpvaGH		K02107	V/A-type H+/Na+-transporting ATPase subunit G/H
atpvaF		K02122	V/A-type H+/Na+-transporting ATPase subunit F
atpvaE		K02121	V/A-type H+/Na+-transporting ATPase subunit E
atpvaD		K02120	V/A-type H+/Na+-transporting ATPase subunit D
atpvaC		K02119	V/A-type H+/Na+-transporting ATPase subunit C
atpvaB		K02118	V/A-type H+/Na+-transporting ATPase subunit B
atpvaA	7.2.2.1;7.1.2.2	K02117	V/A-type H+/Na+-transporting ATPase subunit A [EC:7.2.2.1 7.1.2.2]
pucJ	2.A.40.3.2	K16170	uric acid permease
utp	1.A.28.2	K08717	urea transporter
urtA	3.A.1.4.4;3.A.1.4.5	K11959	urea transport system substrate-binding protein
urtB	3.A.1.4.4;3.A.1.4.5	K11960	urea transport system permease protein
urtC	3.A.1.4.4;3.A.1.4.5	K11961	urea transport system permease protein
urtD	3.A.1.4.4;3.A.1.4.5	K11962	urea transport system ATP-binding protein
urtE	3.A.1.4.4;3.A.1.4.5	K11963	urea transport system ATP-binding protein
uraA	2.A.40.1.1_P0AGM7;2.A.40.1.2_Q9CF78;2.A.40.1.4_P39766	K02824	uracil permease
arnE	2.A.7.22.1_Q47377	K12962	undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE
phoX		K07093	uncharacterized protein
mleP	2.A.69.3.2_E0SFK1;2.A.69.3.4_P56949;2.A.69.3.6_Q98L58;2.A.69.4.5_Q48797;2.A.69.3.1_Q9AK33;2.A.69.4.4_Q1DE54	K07088	uncharacterized protein
satP	2.A.96.1.1_P0AC98	K07034	uncharacterized protein
galT	2.7.7.12	K00965	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
capD	5.1.3.2	K17716	UDP-glucose 4-epimerase [EC:5.1.3.2]
galE	5.1.3.2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]
petA	7.1.1.8	K00411	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]
qcrA		K03890	ubiquinol-cytochrome c reductase iron-sulfur subunit
petC		K00413	ubiquinol-cytochrome c reductase cytochrome c1 subunit
qcrC		K03889	ubiquinol-cytochrome c reductase cytochrome c subunit
fbcH		K00410	ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
petB_2		K00412	ubiquinol-cytochrome c reductase cytochrome b subunit
qcrB		K03891	ubiquinol-cytochrome c reductase cytochrome b subunit
tyrP	2.A.42.1.1_P0AAD4;2.A.42.1.5_Q5NFU3	K03834	tyrosine-specific transport protein
tutB	2.A.42.1.4_Q47825	K03318	tyrosine permease
mfnA	4.1.1.25;4.1.1.11	K18933	tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11] 
mfnD	6.3.4.24	K06914	tyramine---L-glutamate ligase [EC:6.3.4.24] 
tupA	3.A.1.6.2;3.A.1.6.4	K05772	tungstate transport system substrate-binding protein
tupB	3.A.1.6.2;3.A.1.6.4	K05773	tungstate transport system permease protein
tupC	3.A.1.6.2;3.A.1.6.4	K06857	tungstate transport system ATP-binding protein [EC:3.6.3.55]
mtr	2.A.42.1.2_P0AAD2;2.A.42.1.5_Q5NFU3	K03835	tryptophan-specific transport protein
trkA	2.A.38.1;2.A.38.4	K03499	trk system potassium uptake protein
trkH	2.A.38.1;2.A.38.4	K03498	trk system potassium uptake protein
tpi	5.3.1.1	K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]
dak	2.7.1.28;2.7.1.29;4.6.1.15	K00863	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
torY		K07821	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorY 
torC		K03532	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC 
torA	1.7.2.3	K07811	trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3] 
torZ	1.7.2.3	K07812	trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3] 
mttB	2.1.1.250	K14083	trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250] 
tmm	1.14.13.148	K18277	trimethylamine monooxygenase [EC:1.14.13.148] 
mttC		K14084	trimethylamine corrinoid protein 
thuE	3.A.1.1.12_Q9AI68;3.A.1.1.17_Q9R9Q7;3.A.1.1.19_Q8L126;3.A.1.1.25_Q72H68	K10236	trehalose/maltose transport system substrate-binding protein
thuG	3.A.1.1.12_Q9AI66;3.A.1.1.17_Q9R9Q5;3.A.1.1.25_Q72H66	K10238	trehalose/maltose transport system permease protein
thuF	3.A.1.1.12_Q9AI67;3.A.1.1.17_Q9R9Q6;3.A.1.1.19_Q8L125;3.A.1.1.25_Q72H67;3.A.1.1.41_G4FGN7	K10237	trehalose/maltose transport system permease protein
treS2	3.A.1.1.15_Q97ZC3	K17311	trehalose transport system substrate-binding protein
treU	3.A.1.1.15_Q97ZC1	K17313	trehalose transport system permease protein
treT	3.A.1.1.15_Q97ZC2	K17312	trehalose transport system permease protein
treV	3.A.1.1.15_Q97ZC0	K17314	trehalose transport system ATP-binding protein
yiaM	2.A.56.1	K21394	TRAP-type transport system small permease protein
yiaO	2.A.56.1	K21395	TRAP-type transport system periplasmic protein
yiaN	2.A.56.1	K21393	TRAP-type transport system large permease protein
tkt	2.2.1.1	K00615	transketolase [EC:2.2.1.1] 
torD		K03533	TorA specific chaperone 
tmoC		K15762	toluene monooxygenase system ferredoxin subunit 
tmoF	1.18.1.3	K15765	toluene monooxygenase electron transfer component [EC:1.18.1.3] 
tdcC	2.A.42.2.2_P0AAD8	K03838	threonine transporter
rhtC	2.A.76.1.2_P0AG38	K05835	threonine efflux protein
tst	2.8.1.1;2.8.1.2	K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2] 
glpE	2.8.1.1	K02439	thiosulfate sulfurtransferase [EC:2.8.1.1] 
phsB		K08353	thiosulfate reductase electron transport protein 
phsC		K08354	thiosulfate reductase cytochrome b subunit 
phsA	1.8.5.5	K08352	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5] 
doxA	1.8.5.2	K16936	thiosulfate dehydrogenase [quinone] small subunit [EC:1.8.5.2] 
doxD	1.8.5.2	K16937	thiosulfate dehydrogenase [quinone] large subunit [EC:1.8.5.2] 
thiT	2.A.88.3	K16789	thiamine transporter
thiB	3.A.1.19.2_Q73RE6	K02064	thiamine transport system substrate-binding protein
thiP	3.A.1.19.2_Q73RE5	K02063	thiamine transport system permease protein
thiQ	3.A.1.19.2_Q73RE4	K02062	thiamine transport system ATP-binding protein
ttrC		K08359	tetrathionate reductase subunit C 
ttrB		K08358	tetrathionate reductase subunit B 
ttrA		K08357	tetrathionate reductase subunit A 
tmtrH	2.1.1.86	K00584	tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86] 
tmtrG	2.1.1.86	K00583	tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86] 
tmtrF	2.1.1.86	K00582	tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86] 
tmtrE	2.1.1.86	K00581	tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86] 
tmtrD	2.1.1.86	K00580	tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86] 
tmtrC	2.1.1.86	K00579	tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86] 
tmtrB	2.1.1.86	K00578	tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86] 
tmtrA	2.1.1.86	K00577	tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86] 
tet35		K18218	tetracycline resistance efflux pump
tehA	2.A.16.1	K03304	tellurite resistance protein
tuaB	2.A.66.2.6	K16694	teichuronic acid exporter
tagG	3.A.1.104	K09692	teichoic acid transport system permease protein
tagH	3.A.1.104	K09693	teichoic acid transport system ATP-binding protein [EC:3.6.3.40]
tauA	3.A.1.17.1;3.A.1.17.4	K15551	taurine transport system substrate-binding protein
tauC	3.A.1.17.1;3.A.1.17.4	K15552	taurine transport system permease protein
tauB	3.A.1.17.1;3.A.1.17.4	K10831	taurine transport system ATP-binding protein [EC:3.6.3.36]
tauD	1.14.11.17	K03119	taurine dioxygenase [EC:1.14.11.17] 
ynfF	1.97.1.9	K07310	Tat-targeted selenate reductase subunit YnfF [EC:1.97.1.9]
ynfE	1.97.1.9	K07309	Tat-targeted selenate reductase subunit YnfE [EC:1.97.1.9]
pgi-tal	2.2.1.2;5.3.1.9	K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9] 
uxaB	1.1.1.58	K00041	tagaturonate reductase [EC:1.1.1.58]
soxZ		K17227	sulfur-oxidizing protein SoxZ 
soxY		K17226	sulfur-oxidizing protein SoxY 
sreA		K17219	sulfur reductase molybdopterin subunit 
sreC		K17221	sulfur reductase membrane anchor 
sreB		K17220	sulfur reductase FeS subunit 
sor	1.13.11.55	K16952	sulfur oxygenase/reductase [EC:1.13.11.55] 
comE	4.1.1.79	K13039	sulfopyruvate decarboxylase subunit beta [EC:4.1.1.79] 
comD	4.1.1.79	K06034	sulfopyruvate decarboxylase subunit alpha [EC:4.1.1.79] 
ssuA	3.A.1.17.2	K15553	sulfonate transport system substrate-binding protein
ssuC	3.A.1.17.2	K15554	sulfonate transport system permease protein
ssuB	3.A.1.17.2	K15555	sulfonate transport system ATP-binding protein [EC:3.6.3.-]
cysI	1.8.1.2	K00381	sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2] 
cysJ	1.8.1.2	K00380	sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2] 
sir	1.8.7.1	K00392	sulfite reductase (ferredoxin) [EC:1.8.7.1] 
suox	1.8.3.1	K00387	sulfite oxidase [EC:1.8.3.1] 
suld	1.8.2.1	K05301	sulfite dehydrogenase [EC:1.8.2.1] 
soeC		K21309	sulfite dehydrogenase (quinone) subunit SoeC 
soeB		K21308	sulfite dehydrogenase (quinone) subunit SoeB 
soeA	1.8.5.6	K21307	sulfite dehydrogenase (quinone) subunit SoeA [EC:1.8.5.6] 
sqr	1.8.5.4	K17218	sulfide:quinone oxidoreductase [EC:1.8.5.4] 
fccB	1.8.2.3	K17229	sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3] 
hydD	1.12.1.3;1.12.1.5	K17994	sulfhydrogenase subunit delta [EC:1.12.1.3 1.12.1.5] 
hydB	1.12.98.4	K17996	sulfhydrogenase subunit beta (sulfur reductase) [EC:1.12.98.4]
hydA	1.12.1.3;1.12.1.5	K17993	sulfhydrogenase subunit alpha [EC:1.12.1.3 1.12.1.5] 
sbp	3.A.1.6.1;3.A.1.6.3;3.A.1.6.7	K23163	sulfate/thiosulfate transport system substrate-binding protein 
cysA	3.A.1.6.1;3.A.1.6.3;3.A.1.6.7	K02045	sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]
cysP	3.A.1.6.1;3.A.1.6.3	K02048	sulfate transport system substrate-binding protein
cysU	3.A.1.6.1;3.A.1.6.3;3.A.1.6.7	K02046	sulfate transport system permease protein
cysW	3.A.1.6.1;3.A.1.6.3;3.A.1.6.7	K02047	sulfate transport system permease protein
tc.sulp	2.A.53.3.13_Q1J2S8	K03321	sulfate permease, SulP family
ylnA	2.A.20.4	K16331	sulfate permease
cysD	2.7.7.4	K00957	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4] 
cysN	2.7.7.4	K00956	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4] 
sat	2.7.7.4	K00958	sulfate adenylyltransferase [EC:2.7.7.4] 
apa1_2	2.7.7.5;2.7.7.53	K00988	sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53] 
soxC		K17225	sulfane dehydrogenase subunit SoxC 
scrY	1.B.3.1.2_P22340	K16077	sucrose porin
smtB	2.8.3.22	K14472	succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22] 
smtA	2.8.3.22	K14471	succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22] 
sucC	6.2.1.5	K01903	succinyl-CoA synthetase beta subunit [EC:6.2.1.5] 
sucD	6.2.1.5	K01902	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] 
asd2	1.2.1.76	K15038	succinyl-CoA reductase [EC:1.2.1.76] 
exoT	2.A.66.2.2	K16553	succinoglycan exporter
ssadh	1.1.1.-	K14465	succinate semialdehyde reductase (NADPH) [EC:1.1.1.-] 
sdhD		K00242	succinate dehydrogenase / fumarate reductase, membrane anchor subunit 
sdhB	1.3.5.1;1.3.5.4	K00240	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4] 
sdhA	1.3.5.1;1.3.5.4	K00239	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4] 
sdhC		K00241	succinate dehydrogenase / fumarate reductase, cytochrome b subunit 
ssgdh	1.1.1.359	K18125	ssgdh; aldose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.359] 
mtlE	3.A.1.1.49_O30491	K10227	sorbitol/mannitol transport system substrate-binding protein
mtlF	3.A.1.1.49_O30492	K10228	sorbitol/mannitol transport system permease protein
mtlG	3.A.1.1.49_O30493	K10229	sorbitol/mannitol transport system permease protein
tc.sss	2.A.21.2.2_Q7A4Q7;2.A.21.2.5_M1TZ79;2.A.21.3.19_Q8AAV7;2.A.21.3.21_P31448;2.A.21.3.2_P96169;2.A.21.3.9_A8H019;2.A.21.4.1_Q8VM88	K03307	solute:Na+ symporter, SSS family
putP	2.A.21.2.1_P07117;2.A.21.2.2_Q7A4Q7;2.A.21.2.3_Q9I5F5;2.A.21.2.4_J7JIE8;2.A.21.2.6_O24896	K11928	sodium/proline symporter
panF	2.A.21.1	K14392	sodium/pantothenate symporter
natB	3.A.1.115	K09696	sodium transport system permease protein
natA	3.A.1.115	K09697	sodium transport system ATP-binding protein
ugpB	3.A.1.1.3	K05813	sn-glycerol 3-phosphate transport system substrate-binding protein
ugpA	3.A.1.1.3	K05814	sn-glycerol 3-phosphate transport system permease protein
ugpE	3.A.1.1.3	K05815	sn-glycerol 3-phosphate transport system permease protein
ugpC	3.A.1.12.4_O34992	K05816	sn-glycerol 3-phosphate transport system ATP-binding protein [EC:3.6.3.20]
mmr	2.A.7.1	K03297	small multidrug resistance pump
ebr	2.A.7.1.11	K18975	small multidrug resistance pump
sugS2	3.A.1.2.14_Q0HIQ8;3.A.1.2.23_Q8G848;3.A.1.2.25_P39325;3.A.1.2.27_P77269;3.A.1.2.28_R9UW99	K02058	simple sugar transport system substrate-binding protein
sugP2	3.A.1.2.14_Q0HIQ5;3.A.1.2.14_Q0HIQ6;3.A.1.2.18_Q9WXW0;3.A.1.2.23_Q8G845;3.A.1.2.23_Q8G846;3.A.1.2.25_P37772;3.A.1.2.25_P39328;3.A.1.2.27_P77315;3.A.1.2.10_O83342;3.A.1.2.10_O83343;3.A.1.2.12_Q8DU38;3.A.1.2.12_Q8DU39;3.A.1.2.17_A2RKA5;3.A.1.2.17_A2RKA6;3.A.1.2.28_O83323;3.A.1.2.28_O83324	K02057	simple sugar transport system permease protein
sugA	3.A.1.2.14_Q0HIQ7;3.A.1.2.20_G4FGN3;3.A.1.2.23_Q8G847;3.A.1.2.25_Q6BEX0;3.A.1.2.27_P77509;3.A.1.2.10_O83341;3.A.1.2.12_Q8DU37;3.A.1.2.17_A2RKA7;3.A.1.2.28_R9USS2	K02056	simple sugar transport system ATP-binding protein [EC:3.6.3.17]
atoE	2.A.73.1.1_P76460	K02106	short-chain fatty acids transporter
sstT	2.A.23.4.1_P0AGE4	K07862	serine/threonine transporter
sdaC	2.A.42.2.1_P0AAD6	K03837	serine transporter
cysE1	2.3.1.30	K00640	serine O-acetyltransferase [EC:2.3.1.30] 
cysE2	2.3.1.30	K23304	serine O-acetyltransferase [EC:2.3.1.30] 
serC	1.97.1.9;1.97.1.1	K17052	selenate/chlorate reductase subunit gamma [EC:1.97.1.9 1.97.1.1]
serB	1.97.1.9;1.97.1.1	K17051	selenate/chlorate reductase subunit beta [EC:1.97.1.9 1.97.1.1]
serA	1.97.1.9;1.97.1.1	K17050	selenate/chlorate reductase subunit alpha [EC:1.97.1.9 1.97.1.1]
sdhD_arch1		K18859	sdhD, frdD; succinate dehydrogenase / fumarate reductase, subunit D 
sdhD_arch2		K18860	sdhD, frdD; putative succinate dehydrogenase / fumarate reductase, subunit D
soxB	3.1.6.20	K17224	S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20] 
mmuP	2.A.3.1.11_P39137	K16235	S-methylmethionine transporter
frmB	3.1.2.12	K01070	S-formylglutathione hydrolase [EC:3.1.2.12] 
soxD	1.8.2.6	K22622	S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6] 
sam	2.A.7.3.54_Q1MIM3	K15270	S-adenosylmethionine uptake transporter
gfa	4.4.1.22	K03396	S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22] 
frmA	1.1.1.284;1.1.1.1	K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
rpe	5.1.3.1	K01783	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1] 
rbcS	4.1.1.39	K01602	ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39] 
rbcL	4.1.1.39	K01601	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] 
rbsB	3.A.1.2.20_G4FGN5	K10439	ribose transport system substrate-binding protein
rbsC	3.A.1.2.18_Q9WXW7;3.A.1.2.20_G4FGN4;3.A.1.2.6_P32720	K10440	ribose transport system permease protein
rbsA	3.A.1.2.20_G4FGN3	K10441	ribose transport system ATP-binding protein [EC:3.6.3.17]
rpiB	5.3.1.6	K01808	ribose 5-phosphate isomerase B [EC:5.3.1.6] 
rpiA	5.3.1.6	K01807	ribose 5-phosphate isomerase A [EC:5.3.1.6] 
rhaS	3.A.1.2.9_Q7BSH5	K10559	rhamnose transport system substrate-binding protein
rhaQ	3.A.1.2.9	K10561	rhamnose transport system permease protein
rhaP	3.A.1.2.9_Q7BSH3	K10560	rhamnose transport system permease protein
rhaT1	3.A.1.2.9_Q7BSH4	K10562	rhamnose transport system ATP-binding protein [EC:3.6.3.17]
graA	1.14.14.27	K20942	resorcinol 4-hydroxylase (FADH2) [EC:1.14.14.27]
msmE2	3.A.1.1.28_Q00749;3.A.1.1.42_Q9FBS5;3.A.1.1.43_Q9FBS5;3.A.1.1.45_Q8NMV3;3.A.1.1.47_A5LBQ6	K10117	raffinose/stachyose/melibiose transport system substrate-binding protein
msmF2	3.A.1.1.28_Q00750;3.A.1.1.42_Q9FBS6;3.A.1.1.43_Q9FBS6;3.A.1.1.45_Q8NMV4;3.A.1.1.47_A5LBQ5	K10118	raffinose/stachyose/melibiose transport system permease protein
msmG2	3.A.1.1.28_Q00751;3.A.1.1.42_Q9FBS7;3.A.1.1.43_Q9FBS7;3.A.1.1.45_Q8NMV5;3.A.1.1.47_A5LBQ4	K10119	raffinose/stachyose/melibiose transport system permease protein
qmoC		K16887	quinone-modifying oxidoreductase, subunit QmoC
qmoB		K16886	quinone-modifying oxidoreductase, subunit QmoB
qmoA		K16885	quinone-modifying oxidoreductase, subunit QmoA
qhpA	1.4.9.1	K08685	quinohemoprotein amine dehydrogenase [EC:1.4.9.1] 
pps	2.7.9.2	K01007	pyruvate, water dikinase [EC:2.7.9.2] 
ppdK	2.7.9.1	K01006	pyruvate, orthophosphate dikinase [EC:2.7.9.1] 
por	1.2.7.1;1.2.7.-	K03737	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] 
pflA	1.97.1.4	K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]
porG	1.2.7.1	K00172	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1] 
porD	1.2.7.1	K00171	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1] 
porB	1.2.7.1	K00170	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1] 
porA	1.2.7.1	K00169	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1] 
poxB	1.2.5.1	K00156	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
pycB	6.4.1.1	K01960	pyruvate carboxylase subunit B [EC:6.4.1.1] 
pycA	6.4.1.1	K01959	pyruvate carboxylase subunit A [EC:6.4.1.1] 
pyc	6.4.1.1	K01958	pyruvate carboxylase [EC:6.4.1.1] 
ppaX	3.6.1.1	K06019	pyrophosphatase PpaX [EC:3.6.1.1]
puuP	2.A.3.1.13	K14052	putrescine importer
xltC	3.A.1.2.15_A8H4W5	K17205	putative xylitol transport system substrate-binding protein
xltB	3.A.1.2.15_A8H4W6	K17206	putative xylitol transport system permease protein
xltA	3.A.1.2.15_A8H4W7	K17207	putative xylitol transport system ATP-binding protein
tctB	2.A.80.1.4_S5XH28	K07794	putative tricarboxylic transport membrane protein
tctC	2.A.80.1.4_S5XTE7	K07795	putative tricarboxylic transport membrane protein
tctA	2.A.80.1.4_S5Y5N9	K07793	putative tricarboxylic transport membrane protein
vb1xS		K05777	putative thiamine transport system substrate-binding protein
vb1xP		K05778	putative thiamine transport system permease protein
vb1xA		K05779	putative thiamine transport system ATP-binding protein
xdhD		K12528	putative selenate reductase molybdopterin-binding subunit
ygfM		K12529	putative selenate reductase FAD-binding subunit
ygfK	1.97.1.9	K12527	putative selenate reductase [EC:1.97.1.9]
rbsU	2.A.7.5	K06216	putative ribose uptake protein
rutG	2.A.40.1.3_P75892	K09016	putative pyrimidine permease RutG
psuT	2.A.41.2.10_P33021	K16324	putative pseudouridine transporter
pta3	2.3.1.8	K15024	putative phosphotransacetylase [EC:2.3.1.8] 
yydJ	3.A.1.133.1	K16916	putative peptide transport system permease protein
yydI	3.A.1.133.1	K16917	putative peptide transport system ATP-binding protein
